Day of the Week,Start Time,Price Open,Price Close,Price High,Price Low,Volume Traded,Trade Count
,2019-12-18 00:00:00+00:00,28.18,31.29,32.67,27.71,23632.87652605,1655
,2019-12-19 00:00:00+00:00,31.88,30.63,31.97,29.92,3368.36463915,537
,2019-12-20 00:00:00+00:00,30.61,31.04,31.14,30.21,5315.55607206,537
,2019-12-21 00:00:00+00:00,31.03,30.66,31.09,30.42,2574.74650283,391
,2019-12-22 00:00:00+00:00,30.64,32.35,32.53,30.47,4933.16970642,590
,2019-12-23 00:00:00+00:00,32.25,31.51,33.14,31.2,4712.04751804,634
,2019-12-24 00:00:00+00:00,31.47,31.19,31.78,30.67,2400.59673743,450
,2019-12-25 00:00:00+00:00,31.29,31.06,31.5,30.46,1725.34680561,255
,2019-12-26 00:00:00+00:00,30.95,30.9,32.04,30.59,4283.66810225,377
,2019-12-27 00:00:00+00:00,30.85,31.36,31.5,30.32,4391.27488153,443
,2019-12-28 00:00:00+00:00,31.35,32.69,33.25,31.27,8293.07702715,561
,2019-12-29 00:00:00+00:00,32.7,33.01,33.33,32.27,2952.66026015,415
,2019-12-30 00:00:00+00:00,32.86,32.37,33.64,31.87,3530.98256529,415
,2019-12-31 00:00:00+00:00,32.19,31.22,32.57,30.88,2989.01366336,415
,2020-01-01 00:00:00+00:00,31.14,31.49,31.78,31.06,2388.98782434,286
,2020-01-02 00:00:00+00:00,31.3,30.0,31.51,29.79,3308.1623526,468
,2020-01-03 00:00:00+00:00,29.91,32.14,32.32,29.57,5106.23109323,583
,2020-01-04 00:00:00+00:00,32.12,32.7,32.97,31.93,3474.20858702,431
,2020-01-05 00:00:00+00:00,32.7,33.15,34.08,32.67,3831.41449726,405
,2020-01-06 00:00:00+00:00,33.06,34.83,35.02,33.04,4228.56898476,623
,2020-01-07 00:00:00+00:00,34.81,35.54,35.83,33.92,10014.57989734,854
,2020-01-08 00:00:00+00:00,35.43,34.66,37.1,33.78,8544.45067677,885
,2020-01-09 00:00:00+00:00,34.69,34.47,34.91,33.6,3317.43240812,451
,2020-01-10 00:00:00+00:00,34.32,37.64,38.0,33.61,10835.57046585,990
,2020-01-11 00:00:00+00:00,37.5,37.96,39.84,36.76,6659.771296,855
,2020-01-12 00:00:00+00:00,37.72,39.48,39.48,37.5,5329.18277531,528
,2020-01-13 00:00:00+00:00,39.5,38.27,39.5,37.72,5162.45120632,618
,2020-01-14 00:00:00+00:00,38.3,45.16,47.17,38.29,31150.93970035,2052
,2020-01-15 00:00:00+00:00,44.95,44.55,46.5,42.65,10051.23194118,1030
,2020-01-16 00:00:00+00:00,44.79,43.95,44.92,41.79,7931.75893901,853
,2020-01-17 00:00:00+00:00,44.12,46.91,48.49,43.5,11956.41983997,1304
,2020-01-18 00:00:00+00:00,46.69,45.34,47.98,44.56,9219.57400056,854
,2020-01-19 00:00:00+00:00,45.55,44.55,47.76,42.55,12099.14462988,941
,2020-01-20 00:00:00+00:00,44.53,43.94,44.65,42.95,3550.89705277,569
,2020-01-21 00:00:00+00:00,43.93,44.08,44.5,42.76,3503.70013093,505
,2020-01-22 00:00:00+00:00,44.08,44.27,45.22,43.77,4246.13739206,472
,2020-01-23 00:00:00+00:00,44.33,41.3,44.34,39.8,11271.81545774,913
,2020-01-24 00:00:00+00:00,41.43,41.65,42.31,38.64,10565.01322069,892
,2020-01-25 00:00:00+00:00,41.42,40.8,41.66,40.16,3049.71031072,464
,2020-01-26 00:00:00+00:00,40.48,43.06,43.5,40.34,6784.28309699,591
,2020-01-27 00:00:00+00:00,43.09,44.7,45.62,42.63,10678.15932881,848
,2020-01-28 00:00:00+00:00,44.86,46.46,46.94,44.0,11488.34757818,922
,2020-01-29 00:00:00+00:00,46.56,45.99,47.63,45.7,5952.19727997,826
,2020-01-30 00:00:00+00:00,45.72,51.98,53.54,44.75,21901.2802134,1993
,2020-01-31 00:00:00+00:00,51.9,51.34,53.0,49.75,12716.45635471,1418
,2020-02-01 00:00:00+00:00,51.24,53.71,54.91,51.24,10670.56258147,1062
,2020-02-02 00:00:00+00:00,53.68,53.08,55.56,51.37,9279.87573282,988
,2020-02-03 00:00:00+00:00,53.08,53.65,55.36,52.58,7348.34863226,897
,2020-02-04 00:00:00+00:00,53.48,52.13,54.26,51.21,5896.33679287,861
,2020-02-05 00:00:00+00:00,52.23,55.91,56.44,52.03,13032.21714903,1278
,2020-02-06 00:00:00+00:00,55.91,57.07,57.92,54.62,10140.558841,1121
,2020-02-07 00:00:00+00:00,57.1,57.75,58.27,56.3,7829.92918266,946
,2020-02-08 00:00:00+00:00,57.69,59.55,60.52,55.6,10095.41511297,1127
,2020-02-09 00:00:00+00:00,59.47,59.89,61.0,58.44,6977.25682804,964
,2020-02-10 00:00:00+00:00,60.12,57.44,60.28,56.1,12883.21392178,1124
,2020-02-11 00:00:00+00:00,57.42,59.44,59.98,56.12,9402.88494007,979
,2020-02-12 00:00:00+00:00,59.53,62.94,64.0,59.4,15322.18858539,1658
,2020-02-13 00:00:00+00:00,63.05,61.77,65.5,59.55,10270.69652349,1402
,2020-02-14 00:00:00+00:00,61.98,63.93,64.49,60.5,5548.66121989,967
,2020-02-15 00:00:00+00:00,64.01,58.77,64.36,57.54,13399.37538755,1308
,2020-02-16 00:00:00+00:00,58.77,57.49,61.97,51.7,16030.80332499,1465
,2020-02-17 00:00:00+00:00,57.4,56.41,57.94,52.74,10927.98834253,1187
,2020-02-18 00:00:00+00:00,56.17,59.31,61.0,54.06,12580.86502478,1247
,2020-02-19 00:00:00+00:00,59.64,54.84,61.5,52.71,10013.88367062,1127
,2020-02-20 00:00:00+00:00,54.65,54.21,56.32,51.53,14043.84944096,1480
,2020-02-21 00:00:00+00:00,54.07,56.61,58.08,53.39,4620.7677122,2208
,2020-02-22 00:00:00+00:00,56.58,57.8,59.23,55.45,8216.00808874,2588
,2020-02-23 00:00:00+00:00,57.86,61.56,61.92,57.86,6565.50017289,1125
,2020-02-24 00:00:00+00:00,61.55,58.48,61.57,55.55,6550.62224638,1882
,2020-02-25 00:00:00+00:00,58.55,54.55,58.78,53.7,6233.02480081,3984
,2020-02-26 00:00:00+00:00,54.52,46.91,55.47,44.62,24686.6462011,9769
,2020-02-27 00:00:00+00:00,46.91,47.82,51.51,44.31,14374.33520505,4593
,2020-02-28 00:00:00+00:00,47.9,46.82,49.22,44.27,10992.52104938,7462
,2020-02-29 00:00:00+00:00,46.83,45.4,48.18,45.27,5672.94965773,2392
,2020-03-01 00:00:00+00:00,45.5,45.0,47.14,43.74,5356.2713305,2888
,2020-03-02 00:00:00+00:00,44.95,48.06,48.82,44.7,5700.39990663,2992
,2020-03-03 00:00:00+00:00,47.95,47.59,48.85,46.5,3689.30311963,2714
,2020-03-04 00:00:00+00:00,47.7,46.85,48.1,46.07,2951.7706819,1431
,2020-03-05 00:00:00+00:00,47.02,48.03,49.12,46.99,5565.69417305,2196
,2020-03-06 00:00:00+00:00,48.09,48.71,48.99,47.5,3388.93452793,1330
,2020-03-07 00:00:00+00:00,48.69,46.26,49.0,46.25,4089.75639662,1498
,2020-03-08 00:00:00+00:00,46.34,39.09,46.34,38.71,19046.87211454,4811
,2020-03-09 00:00:00+00:00,39.09,38.67,40.1,35.53,21613.25833175,8165
,2020-03-10 00:00:00+00:00,38.68,38.9,40.35,37.74,11966.11768905,3721
,2020-03-11 00:00:00+00:00,38.96,37.83,39.42,35.42,8715.49415447,4389
,2020-03-12 00:00:00+00:00,37.73,24.8,38.08,23.61,89400.58101493,21740
,2020-03-13 00:00:00+00:00,24.81,31.17,33.0,21.25,78737.50346251,25253
,2020-03-14 00:00:00+00:00,31.2,28.08,31.38,27.54,19250.25565303,4197
,2020-03-15 00:00:00+00:00,28.07,29.45,31.31,27.59,12877.69903376,5595
,2020-03-16 00:00:00+00:00,29.36,27.2,29.46,24.61,40028.16406369,12415
,2020-03-17 00:00:00+00:00,27.35,28.52,29.85,26.73,15727.52179052,3042
,2020-03-18 00:00:00+00:00,28.54,29.92,29.92,27.18,13507.96228889,3820
,2020-03-19 00:00:00+00:00,29.93,34.23,35.86,29.55,32313.74605081,6057
,2020-03-20 00:00:00+00:00,34.21,32.9,37.49,29.52,33594.55285504,4362
,2020-03-21 00:00:00+00:00,32.96,33.12,34.54,31.62,9112.30965834,1907
,2020-03-22 00:00:00+00:00,33.07,30.7,34.26,30.4,10323.09170635,3403
,2020-03-23 00:00:00+00:00,30.31,33.7,34.5,30.01,13197.75712425,4572
,2020-03-24 00:00:00+00:00,33.74,34.5,34.96,33.1,15192.09694373,2157
,2020-03-25 00:00:00+00:00,34.46,33.24,34.61,32.0,14482.78706231,1931
,2020-03-26 00:00:00+00:00,33.37,33.33,33.75,31.91,8684.72510311,1409
,2020-03-27 00:00:00+00:00,33.33,30.69,34.05,30.59,10897.70360694,1363
,2020-03-28 00:00:00+00:00,30.6,31.5,32.39,29.71,19524.52555793,2021
,2020-03-29 00:00:00+00:00,31.48,29.94,31.48,29.9,9519.35291465,1294
,2020-03-30 00:00:00+00:00,29.97,31.55,31.99,29.97,6426.44371951,1693
,2020-03-31 00:00:00+00:00,31.43,31.8,31.99,31.24,5558.19207704,1296
,2020-04-01 00:00:00+00:00,31.64,31.86,31.91,30.1,10090.64185025,1165
,2020-04-02 00:00:00+00:00,31.9,32.29,34.88,31.24,14742.22345694,1905
,2020-04-03 00:00:00+00:00,32.17,33.01,33.68,32.0,6819.71239169,956
,2020-04-04 00:00:00+00:00,32.99,33.18,33.5,32.6,4120.00863763,1291
,2020-04-05 00:00:00+00:00,33.22,33.09,33.4,32.62,2530.47796456,815
,2020-04-06 00:00:00+00:00,33.05,36.89,36.89,33.05,17231.45606372,2759
,2020-04-07 00:00:00+00:00,36.81,36.28,38.69,35.44,21625.03445098,2241
,2020-04-08 00:00:00+00:00,36.28,37.59,38.4,35.96,9275.50534442,2614
,2020-04-09 00:00:00+00:00,37.56,37.2,37.97,36.2,8561.01485701,1632
,2020-04-10 00:00:00+00:00,37.17,33.98,37.31,32.9,17239.42110733,2521
,2020-04-11 00:00:00+00:00,34.05,34.19,34.8,33.42,5246.3310769,1243
,2020-04-12 00:00:00+00:00,34.24,33.87,35.26,33.73,4848.40007954,1337
,2020-04-13 00:00:00+00:00,33.8,33.05,33.8,31.96,9856.75485669,2011
,2020-04-14 00:00:00+00:00,33.09,32.64,33.42,32.33,4256.69771134,1225
,2020-04-15 00:00:00+00:00,32.65,31.48,33.17,31.3,6079.98244447,1246
,2020-04-16 00:00:00+00:00,31.42,34.02,35.25,30.47,10899.31951503,2811
,2020-04-17 00:00:00+00:00,34.01,33.91,34.45,33.37,4123.25767091,969
,2020-04-18 00:00:00+00:00,33.88,35.32,35.86,33.62,10723.05969159,1261
,2020-04-19 00:00:00+00:00,35.41,33.97,35.43,33.45,8883.483863,1170
,2020-04-20 00:00:00+00:00,33.95,32.57,34.74,31.94,10472.29573413,1616
,2020-04-21 00:00:00+00:00,32.61,33.1,33.72,32.51,9542.25089212,1298
,2020-04-22 00:00:00+00:00,33.09,34.02,34.4,32.97,5249.96859762,654
,2020-04-23 00:00:00+00:00,33.99,34.76,35.45,33.24,11468.55788989,882
,2020-04-24 00:00:00+00:00,34.93,35.86,36.56,34.82,10303.1423446,837
,2020-04-25 00:00:00+00:00,35.81,36.05,36.86,35.6,6478.14653258,1009
,2020-04-26 00:00:00+00:00,35.99,36.22,36.74,35.58,7356.59576375,886
,2020-04-27 00:00:00+00:00,36.24,35.97,36.59,34.88,8984.55361566,1145
,2020-04-28 00:00:00+00:00,35.86,36.98,37.2,35.2,8804.52997357,934
,2020-04-29 00:00:00+00:00,36.98,39.26,40.43,36.72,29930.73464656,2151
,2020-04-30 00:00:00+00:00,39.25,37.07,40.91,36.35,29297.21692037,2693
,2020-05-01 00:00:00+00:00,37.1,37.77,38.67,36.77812,12783.70937212,1241
,2020-05-02 00:00:00+00:00,37.73,39.47,40.34506,28.5,11158.87338302,1310
,2020-05-03 00:00:00+00:00,39.53,38.66,39.99999,29.52012,10134.36133074,1406
,2020-05-04 00:00:00+00:00,38.74,37.8,38.82,36.45,10595.4053682,1413
,2020-05-05 00:00:00+00:00,37.88,37.44,38.71,36.89,8502.25966886,1096
,2020-05-06 00:00:00+00:00,37.5,36.72,38.67368,36.29,8139.4640678,1113
,2020-05-07 00:00:00+00:00,36.75,38.44,39.08,36.24,17091.41132197,1731
